name,latitude,longitude
vendor0,47.13268885815036,-102.3834525855235
vendor1,40.45483480826351,-123.83460961315589
vendor2,39.506308673429196,-108.07307713951496
vendor3,39.031634785162524,-110.97376563968675
vendor4,34.06337248614504,-101.32715687099343
vendor5,33.17702411146276,-115.10795081424868
vendor6,37.180810016141585,-100.03052685678824
vendor7,42.17374917793339,-97.7427667938303
vendor8,28.84052190925735,-81.06360878886169
vendor9,46.31346272243741,-95.97634770932966
vendor10,30.215336604132364,-91.86344950826897
vendor11,45.53126025835044,-115.73463393984215
vendor12,37.77995089959718,-111.17984085690989
vendor13,39.248278713717056,-74.63073414636813
vendor14,43.46116666232852,-105.36760997056508
vendor15,41.97131280187364,-89.1347518395419
vendor16,38.862768292550754,-113.42756920165581
vendor17,32.33336960338525,-105.13801689244248
vendor18,37.9902729643498,-79.99997497171609
vendor19,30.683521178553903,-89.27939012481573
store0,43.70137370613143,-99.01175526617938
store1,40.57094278883185,-86.1508443233338
store2,39.613614470522414,-116.88492418565455
store3,43.4804976469204,-85.4391884444111
store4,37.46603708905533,-105.373574677653
store5,41.57648504226658,-113.32352590785375
store6,41.199058170139686,-111.81319346544785
store7,39.675186272580085,-86.60283239750373
store8,41.27534497231561,-73.33726314032003
store9,40.20558818469535,-118.50065433248392
store10,31.263153514186563,-102.24610369895184
store11,38.49845999171012,-123.2198036943614
store12,27.408618371468048,-81.92457526252674
store13,44.80378381666938,-88.86029610096591
store14,44.20840424237855,-118.75247750062698
store15,39.22448761343963,-90.3401387030274
store16,45.448900282737455,-82.78493289506858
store17,45.98286925032792,-109.58278483855156
store18,47.55745890899986,-88.90196963801668
store19,36.149481927343615,-121.33937285519774
store20,36.16653317423889,-100.9434531820612
store21,33.40244052208214,-98.40114513991654
store22,31.437794303465672,-90.02166946629708
store23,37.30965073460707,-113.70638476082944
store24,44.71984324112278,-90.05624436938817
store25,41.92450667938839,-98.41907867937735
store26,36.07624069113626,-86.18610732996237
store27,40.74298866637286,-100.45611264923447
store28,44.20505408406272,-113.40800048259096
store29,34.16251494172122,-104.35247223903555
store30,42.506834756633566,-106.75182893103879
store31,36.56357526647122,-98.91029459005583
store32,35.14662731625915,-99.59418249839392
store33,44.20580358134521,-101.96626731621564
store34,39.6096454122787,-106.26553264547923
store35,47.17319058417148,-121.95625354678899
store36,39.18537808115264,-104.79355671830008
store37,34.55120137062458,-106.57263344765994
store38,43.05062815907616,-123.40660150695354
store39,45.12337829789335,-98.85484537903771
dc0,42.47334056191331,-76.74744001805382
dc1,39.56480039714705,-90.41108401094945
dc2,43.13179754391065,-77.8251406019417
dc3,48.44949548262615,-106.39926600125403
dc4,40.32723691062918,-85.57247688792785
